year,sector,trq_value,total_value,trq_share
2022,Mineral Products,2041995.8,4783899.670536167,0.42684753875098275
2022,Miscellaneous,5581352.379999998,13157651.964318398,0.4241906074986478
2022,Plastics / Rubbers,3881503.9060606044,9075334.5998879,0.4276981595927658
2022,"Raw Hides, Skins, Leather, & Furs",1007321.2818181815,2259765.649487554,0.4457636047554804
2022,Stone / Glass,3988829.6378787844,9313867.152255103,0.4282678260998168
2022,Textiles,9174298.0969697,24931682.566363655,0.3679774950025682
2022,Transportation,4351137.695454544,10337587.37058895,0.4209045630737583
2022,Unknown,0.0,35.0,0.0
2022,Vegetable Products,3636799.32030303,8962580.612499977,0.40577591182062456
2022,Wood & Wood Products,4222190.060606058,9890008.06479624,0.4269147237235389
2023,Chemicals & Allied Industries,2435058.233644135,12256302.837857265,0.19867804066677658
2023,Foodstuffs,1065985.7974825276,7211811.051571864,0.1478111101163956
2023,Footwear / Headgear,131880.622727273,800784.684438504,0.16468924205230692
